MUNICÍPIO,MÊS,PRODUTO,ESTADO,REGIÃO,PREÇO PONDERADO,PREÇO PONDERADO MÍNIMO,PREÇO PONDERADO MÁXIMO,NÚMERO DE POSTOS PESQUISADOS
CALDAS NOVAS,2019-04-30,GASOLINA COMUM,GOIAS,CENTRO OESTE,4.5299,4.416333333333332,4.653133333333334,60.0
FEIRA DE SANTANA,2019-04-30,GASOLINA COMUM,BAHIA,NORDESTE,4.384333333333333,4.1904666666666675,4.727566666666667,110.0
POCOS DE CALDAS,2019-04-30,GASOLINA COMUM,MINAS GERAIS,SUDESTE,4.6435,4.449466666666667,4.7938,55.0
VALENCA,2019-04-30,GASOLINA COMUM,RIO DE JANEIRO,SUDESTE,5.0449,4.8091333333333335,5.177333333333333,47.0
BIRIGUI,2019-04-30,GLP,SAO PAULO,SUDESTE,65.313,60.0,70.0,80.0
JOAO MONLEVADE,2019-04-30,GLP,MINAS GERAIS,SUDESTE,67.31439999999999,65.0,75.0,35.0
LEOPOLDINA,2019-04-30,GLP,MINAS GERAIS,SUDESTE,74.5832,69.89999999999999,77.6,30.0
DIADEMA,2019-04-30,GNV,SAO PAULO,SUDESTE,0.5798,0.5798,0.5798,1.0
FRANCISCO BELTRAO,2019-05-31,ETANOL HIDRATADO,PARANA,SUL,3.275741935483871,3.059032258064516,3.47483870967742,40.0
JOINVILLE,2019-05-31,ÓLEO DIESEL S10,SANTA CATARINA,SUL,3.5749032258064517,3.2989999999999995,3.8823225806451616,80.0
SERRA,2019-05-31,ÓLEO DIESEL S10,ESPIRITO SANTO,SUDESTE,3.7380322580645164,3.671290322580645,3.7906451612903225,41.0
CAXIAS,2019-05-31,GASOLINA COMUM,MARANHAO,NORDESTE,4.6295161290322575,4.418290322580646,4.829741935483871,45.0
SANTA CRUZ DO RIO PARDO,2019-05-31,GASOLINA COMUM,SAO PAULO,SUDESTE,4.474096774193548,4.339645161290322,4.635161290322581,45.0
TUBARAO,2019-05-31,GASOLINA COMUM,SANTA CATARINA,SUL,4.357290322580646,4.182903225806452,4.499,50.0
ESTEIO,2019-05-31,GLP,RIO GRANDE DO SUL,SUL,63.80306451612904,60.0,70.0,55.0
CACHOEIRINHA,2019-05-31,GNV,RIO GRANDE DO SUL,SUL,3.2508709677419354,3.2421612903225805,3.2590000000000003,8.0
COLOMBO,2019-06-30,ETANOL HIDRATADO,PARANA,SUL,2.8178333333333336,2.6754666666666664,2.9753666666666665,102.0
DIADEMA,2019-06-30,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.652633333333333,2.388666666666667,2.9847333333333337,96.0
LIMEIRA,2019-06-30,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.3658666666666663,3.230333333333333,3.6086666666666667,76.0
BENTO GONCALVES,2019-06-30,ÓLEO DIESEL S10,RIO GRANDE DO SUL,SUL,3.686266666666667,3.4739999999999998,4.287266666666667,60.0
ITAPERUNA,2019-06-30,ÓLEO DIESEL S10,RIO DE JANEIRO,SUDESTE,3.643366666666666,3.522666666666667,3.8195,40.0
ITUMBIARA,2019-06-30,GASOLINA COMUM,GOIAS,CENTRO OESTE,4.6062,4.541333333333333,4.747366666666666,102.0
SAO PAULO,2019-06-30,GASOLINA COMUM,SAO PAULO,SUDESTE,4.1502,3.7900666666666663,4.982333333333333,1072.0
VACARIA,2019-06-30,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.889966666666666,4.790666666666667,5.025399999999999,54.0
ITABIRA,2019-06-30,GLP,MINAS GERAIS,SUDESTE,74.79333333333334,68.0,79.19999999999999,30.0
RONDONOPOLIS,2019-06-30,GLP,MATO GROSSO,CENTRO OESTE,101.12943333333332,92.50000000000001,110.00000000000001,54.0
SAO LEOPOLDO,2019-06-30,GLP,RIO GRANDE DO SUL,SUL,63.599999999999994,58.13333333333333,67.16666666666666,48.0
TERESINA,2019-06-30,GLP,PIAUI,NORDESTE,64.74593333333333,63.00000000000001,65.0,162.0
VOTORANTIM,2019-06-30,GLP,SAO PAULO,SUDESTE,65.06450000000001,60.0,69.99999999999999,102.0
SAO JOSE,2019-06-30,GNV,SANTA CATARINA,SUL,2.8661000000000008,2.7249999999999996,3.082,19.0
CRICIUMA,2019-07-31,ETANOL HIDRATADO,SANTA CATARINA,SUL,3.6353870967741932,3.3952258064516125,3.75,25.0
OSORIO,2019-07-31,ETANOL HIDRATADO,RIO GRANDE DO SUL,SUL,4.049,3.699,4.399,10.0
GRAMADO,2019-07-31,ÓLEO DIESEL,RIO GRANDE DO SUL,SUL,3.6969677419354836,3.619032258064516,3.7649354838709677,15.0
JACAREI,2019-07-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.3425161290322585,3.1967419354838706,3.4441612903225804,45.0
BIGUACU,2019-07-31,ÓLEO DIESEL S10,SANTA CATARINA,SUL,3.558451612903226,3.4344838709677417,3.702225806451613,35.0
MAGE,2019-07-31,ÓLEO DIESEL S10,RIO DE JANEIRO,SUDESTE,3.621709677419355,3.478032258064516,3.7881612903225808,20.0
PARAISO DO TOCANTINS,2019-07-31,ÓLEO DIESEL S10,TOCANTINS,NORTE,3.737709677419355,3.3709354838709675,4.8261290322580646,40.0
CAMPO BELO,2019-07-31,GASOLINA COMUM,MINAS GERAIS,SUDESTE,4.722741935483872,4.638032258064516,4.830064516129032,45.0
PRESIDENTE PRUDENTE,2019-07-31,GASOLINA COMUM,SAO PAULO,SUDESTE,4.269387096774193,4.188806451612903,4.468677419354838,93.0
CACHOEIRA DO SUL,2019-07-31,GLP,RIO GRANDE DO SUL,SUL,65.73748387096774,61.612903225806456,70.0,35.0
POCOES,2019-07-31,GLP,BAHIA,NORDESTE,58.064548387096764,56.25806451612903,60.87096774193549,15.0
UNAI,2019-07-31,GLP,MINAS GERAIS,SUDESTE,82.09677419354838,80.0,84.99999999999999,20.0
